ra,dec,hst-f814w,uvista-y,uvista-j,uvista-h,uvista-ks,irac-ch1,irac-ch2,nircam_f115w,nircam_f150w,nircam_f277w,nircam_f444w,zpdf_med,mass_med,ssfr_med,ML-class,SED-class,ML-class_prob
150.2883561,2.070243423,24.60262845,23.81619685,23.39738118,22.84013288,22.67033837,22.42600088,22.37215756,23.92444436,23.28117263,22.53596475,22.1699894,2.5045,10.1405,-8.40376,FALSE,FALSE,0.001654885
150.173896,2.117114307,25.31136063,24.55473075,23.94719381,23.09547101,22.7708196,22.7401029,22.47892178,24.61133604,23.64603583,22.75693321,22.21338171,2.5019,10.39789,-8.80496,FALSE,FALSE,0.025346106
150.2679658,2.087952854,26.55910821,25.33872651,24.02206722,22.87715743,22.29100661,21.66124704,21.4127241,25.34615338,23.55625785,21.89952711,21.24398352,2.5046,10.91457,-8.92917,TRUE,FALSE,8.14E-05
150.2230804,2.105581118,25.41368848,23.72576842,23.26719785,22.56356104,22.13926925,21.29547744,20.93789889,24.81866461,23.25547425,21.74505318,20.89223326,2.5189,10.65546,-8.02926,FALSE,FALSE,0.014968568
150.1801137,2.129706821,27.42805703,25.9088747,24.78839171,23.71647296,23.05089863,22.23077353,21.84255819,26.1459527,24.64054406,22.91539559,21.78111456,2.5029,10.45787,-8.09159,FALSE,FALSE,0.840527653
150.2984811,2.09300864,25.82915556,24.75056078,24.15790202,23.3275658,22.9371736,22.33029277,22.13491421,24.81068883,23.69531039,22.68108269,21.96365736,2.5173,10.60346,-9.11171,FALSE,FALSE,0.000373624
150.303506,2.094871048,25.38266296,25.24540882,24.39470211,23.87666122,23.77736019,23.92193376,23.90333153,24.93877557,24.35141925,23.79798644,23.54358514,2.5089,9.61454,-8.36143,FALSE,FALSE,0.00026487
150.3054349,2.101376642,26.20487479,26.07711075,24.98880397,24.53179718,24.18734507,24.20754654,24.03597158,25.22211145,24.83061178,23.99450612,23.40576829,2.516,9.73153,-8.49813,FALSE,FALSE,4.25E-05
150.2607054,2.117841988,28.26778811,26.21855743,25.38977339,24.22650749,23.807037,22.29349659,21.87224077,28.66722805,26.77176724,23.38466142,21.74522251,2.5117,10.67462,-8.14643,FALSE,FALSE,0.004685441
150.3146566,1.97508225,26.27006833,24.6831047,24.49245465,23.56298394,23.16562111,22.71269107,22.53093519,25.46285177,24.19128203,22.93019979,22.41385948,2.5152,10.44189,-9.1492,FALSE,FALSE,7.67E-06
150.3437285,1.971878616,24.88254415,24.35960393,24.24216056,23.92738064,23.77060421,24.00540521,23.98822048,24.47050344,23.97293286,23.47778577,23.42517659,2.509,9.72313,-8.62757,FALSE,FALSE,0.165319201
150.3332423,1.986736121,26.74145527,24.46828674,23.89152754,23.09813272,22.57955965,21.61128224,21.25566519,25.16889559,24.0685404,22.04176826,21.11617276,2.5037,10.35694,-7.62859,FALSE,FALSE,0.005091426
150.3176911,1.997548809,24.09595956,23.34485667,23.22430649,22.73078049,22.61671456,22.49804048,22.70558332,23.63828233,22.99689039,22.47381198,22.31858324,2.5193,9.92832,-7.95664,FALSE,FALSE,0.002590538
150.2916528,2.017351561,25.76109377,23.9552074,23.80678155,23.28608416,22.95476239,22.26706741,22.39647509,25.05570566,23.96275781,22.81742157,22.24021174,2.5035,9.9089,-7.91746,FALSE,FALSE,0.000132142
150.3558844,2.01487977,24.29221736,21.02926984,20.98052976,21.19791936,21.50839565,21.5335161,21.50192981,23.30734013,22.83848171,21.93902277,21.43481492,2.5026,9.85019,-7.30037,FALSE,FALSE,0.000137966
150.3653131,2.02981281,23.55727511,23.24107102,23.15357898,22.73945082,22.60471871,23.05204721,22.70436268,23.53585786,23.04091602,22.83144828,22.69244036,2.5006,9.85002,-8.49137,FALSE,FALSE,0.755794667
150.3307665,2.069180587,25.67096685,24.59419032,24.40249463,23.97404587,23.59795539,23.78893456,23.71050099,24.93981106,24.28023565,23.43713133,23.02430931,2.5072,10.13983,-9.28208,FALSE,FALSE,0.050704975
150.3890821,2.05797688,27.43204944,23.77176309,23.81860134,23.57367133,23.08513914,22.22477096,21.82892507,26.28998652,25.23664181,22.76574382,21.7254517,2.5118,10.43757,-8.07488,FALSE,FALSE,0.000332006
